1 , Program, Block, ProcedureDeclaration, VarDeclaration, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
22 , BlockOwner, Block, ProcedureDeclaration, OddCondition, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-OddCondition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-OddCondition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
23 , Program, Block, ProcedureDeclaration, RelationalCondition, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-RelationalCondition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-RelationalCondition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
24 , BlockOwner, Block, ProcedureDeclaration, RelationalCondition, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-RelationalCondition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-RelationalCondition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
25 , Program, Block, ProcedureDeclaration, TermExpression, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
26 , BlockOwner, Block, ProcedureDeclaration, TermExpression, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
27 , Program, Block, ProcedureDeclaration, Term, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
28 , BlockOwner, Block, ProcedureDeclaration, Term, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
29 , Program, Block, ProcedureDeclaration, OptionalTerm, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
30 , BlockOwner, Block, ProcedureDeclaration, OptionalTerm, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-optional-OptionalTerm, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
31 , Program, Block, ProcedureDeclaration, Factor, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
32 , BlockOwner, Block, ProcedureDeclaration, Factor, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Factor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
33 , Program, Block, ProcedureDeclaration, OptionalFactor, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
34 , BlockOwner, Block, ProcedureDeclaration, OptionalFactor, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-optional-OptionalFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
35 , Program, Block, ProcedureDeclaration, IdentReference, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
36 , BlockOwner, Block, ProcedureDeclaration, IdentReference, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-IdentReference, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
37 , Program, Block, ProcedureDeclaration, Number, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
38 , BlockOwner, Block, ProcedureDeclaration, Number, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-Number, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
39 , Program, Block, ProcedureDeclaration, ExpressionFactor, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
40 , BlockOwner, Block, ProcedureDeclaration, ExpressionFactor, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-TermExpression: TermExpression-obligatory-Term: Term-obligatory-ExpressionFactor, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
41 , Program, ProcedureDeclaration, ProcedureDeclaration, Block, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
42 , Program, ProcedureDeclaration, ProcedureDeclaration, Block, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
43 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Block, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
44 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Block, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
45 , Block, ProcedureDeclaration, ProcedureDeclaration, Block, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
46 , Block, ProcedureDeclaration, ProcedureDeclaration, Block, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block, Path: ProcedureDeclaration-block-Block, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
47 , Program, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
48 , Program, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
49 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
50 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
51 , Block, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
52 , Block, ProcedureDeclaration, ProcedureDeclaration, VarDeclaration, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
53 , Program, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
54 , Program, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
55 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
56 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
57 , Block, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
58 , Block, ProcedureDeclaration, ProcedureDeclaration, ConstDeclaration, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
59 , Program, ProcedureDeclaration, ProcedureDeclaration, Body, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
60 , Program, ProcedureDeclaration, ProcedureDeclaration, Body, CallStatement, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
61 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Body, Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
62 , BlockOwner, ProcedureDeclaration, ProcedureDeclaration, Body, CallStatement, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
63 , Block, ProcedureDeclaration, ProcedureDeclaration, Body, Block, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
64 , Block, ProcedureDeclaration, ProcedureDeclaration, Body, CallStatement, Path: Block-procedures-ProcedureDeclaration, Path: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: CallStatement-procedure-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement
65 , Program, ProcedureDeclaration, ProcedureDeclaration, Statement, Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: Block-owner-ProcedureDeclaration, Path: ProcedureDeclaration-block-Block
